Message stats for scenario BubbleRap_TTL30
sim_time: 1875143.0000
created: 54343
started: 6814
relayed: 6780
aborted: 34
dropped: 59017
removed: 1280
delivered: 775
delivery_prob: 0.0143
deliverycost: 0.1248
response_prob: 0.0000
overhead_ratio: 7.7484
latency_avg: 579.7213
latency_med: 441.0000
hopcount_avg: 3.2981
hopcount_med: 4
buffertime_avg: 1702.1787
buffertime_med: 1768.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y11960(CreateFrom:n42,Dest:n17): {n12=1, n42=0, n6=6}
Y11901(CreateFrom:n48,Dest:n17): {n48=1, n23=3, n44=0}
Y11900(CreateFrom:n18,Dest:n11): {n18=3, n23=4, n6=1}
Y11903(CreateFrom:n34,Dest:n3): {n34=8}
Y11902(CreateFrom:n37,Dest:n34): {n37=8}
Y11905(CreateFrom:n27,Dest:n25): {n27=1, n18=1, n42=1, n6=3, n37=1, n44=1}
Y11904(CreateFrom:n43,Dest:n2): {n43=8}
Y11907(CreateFrom:n6,Dest:n32): {n6=8}
Y11906(CreateFrom:n19,Dest:n21): {n19=8}
Y11909(CreateFrom:n1,Dest:n41): {n1=8}
Y11908(CreateFrom:n10,Dest:n0): {n10=8}
Y11910(CreateFrom:n21,Dest:n40): {n21=8}
Y11927(CreateFrom:n1,Dest:n20): {n1=8}
Y11926(CreateFrom:n43,Dest:n11): {n43=8}
Y11929(CreateFrom:n30,Dest:n48): {n30=8}
Y11928(CreateFrom:n16,Dest:n44): {n16=8}
Y11923(CreateFrom:n33,Dest:n30): {n33=8}
Y11922(CreateFrom:n44,Dest:n2): {n23=2, n44=0}
Y11925(CreateFrom:n39,Dest:n34): {n39=8}
Y11924(CreateFrom:n4,Dest:n11): {n4=8}
Y11930(CreateFrom:n19,Dest:n5): {n19=8}
Y11931(CreateFrom:n32,Dest:n42): {n32=8}
Y11932(CreateFrom:n42,Dest:n43): {n42=0, n24=3}
Y11918(CreateFrom:n23,Dest:n1): {n23=1, n37=7}
Y11917(CreateFrom:n23,Dest:n17): {n23=8}
Y11916(CreateFrom:n17,Dest:n42): {n17=8}
Y11915(CreateFrom:n23,Dest:n12): {n12=0, n23=8}
Y11914(CreateFrom:n26,Dest:n15): {n26=8}
