Message stats for scenario BubbleRap_TTL10
sim_time: 259200.0000
created: 1000
started: 256
relayed: 175
aborted: 81
dropped: 1059
removed: 53
delivered: 61
delivery_prob: 0.0610
deliverycost: 0.1750
response_prob: 0.0000
overhead_ratio: 1.8689
latency_avg: 148.3934
latency_med: 57.0000
hopcount_avg: 3.3770
hopcount_med: 4
buffertime_avg: 532.2860
buffertime_med: 567.0000
rtt_avg: NaN
rtt_med: NaN

Message: message path and copies

Y330(CreateFrom:n66,Dest:n59): {n76=2, n59=0, n89=2, n71=2, n83=2, n87=2, n66=2}
Y612(CreateFrom:n1,Dest:n28): {n1=8}
Y808(CreateFrom:n91,Dest:n15): {n91=8}
Y613(CreateFrom:n87,Dest:n13): {n87=8}
Y801(CreateFrom:n71,Dest:n5): {n71=8}
Y802(CreateFrom:n27,Dest:n3): {n27=8}
Y803(CreateFrom:n0,Dest:n83): {n0=8}
Y804(CreateFrom:n53,Dest:n63): {n53=8}
Y336(CreateFrom:n11,Dest:n70): {n11=8}
Y335(CreateFrom:n17,Dest:n56): {n17=8}
Y338(CreateFrom:n97,Dest:n62): {n97=8}
Y337(CreateFrom:n42,Dest:n6): {n42=8}
Y809(CreateFrom:n20,Dest:n10): {n20=8}
Y332(CreateFrom:n79,Dest:n19): {n79=8}
Y331(CreateFrom:n22,Dest:n63): {n22=8}
Y334(CreateFrom:n32,Dest:n6): {n32=8}
Y333(CreateFrom:n44,Dest:n35): {n44=8}
Y319(CreateFrom:n84,Dest:n86): {n84=8}
Y317(CreateFrom:n1,Dest:n52): {n1=8}
Y318(CreateFrom:n84,Dest:n9): {n84=8}
Y800(CreateFrom:n80,Dest:n26): {n80=8}
Y601(CreateFrom:n4,Dest:n55): {n4=8}
Y602(CreateFrom:n9,Dest:n51): {n9=8}
Y600(CreateFrom:n76,Dest:n38): {n76=8}
Y323(CreateFrom:n7,Dest:n25): {n7=8}
Y322(CreateFrom:n63,Dest:n85): {n63=8}
Y321(CreateFrom:n87,Dest:n7): {n87=8}
Y320(CreateFrom:n23,Dest:n44): {n23=8}
Y327(CreateFrom:n51,Dest:n65): {n51=8}
Y326(CreateFrom:n55,Dest:n72): {n55=8}
Y325(CreateFrom:n7,Dest:n19): {n7=8}
Y324(CreateFrom:n22,Dest:n49): {n22=8}
Y306(CreateFrom:n69,Dest:n85): {n69=8}
Y307(CreateFrom:n88,Dest:n26): {n88=8}
Y308(CreateFrom:n92,Dest:n76): {n76=0, n92=0}
Y309(CreateFrom:n68,Dest:n5): {n68=8}
Y310(CreateFrom:n77,Dest:n67): {n77=8}
Y312(CreateFrom:n70,Dest:n8): {n70=8}
Y311(CreateFrom:n16,Dest:n27): {n16=8}
Y314(CreateFrom:n11,Dest:n92): {n11=8}
Y313(CreateFrom:n56,Dest:n50): {n56=8}
Y316(CreateFrom:n6,Dest:n55): {n6=8}
Y315(CreateFrom:n43,Dest:n6): {n43=8}
Y653(CreateFrom:n20,Dest:n21): {n20=8}
Y652(CreateFrom:n73,Dest:n9): {n73=8}
Y651(CreateFrom:n35,Dest:n10): {n35=8}
Y650(CreateFrom:n41,Dest:n25): {n41=8}
Y657(CreateFrom:n70,Dest:n52): {n70=8}
Y656(CreateFrom:n24,Dest:n73): {n24=8}
Y655(CreateFrom:n19,Dest:n70): {n19=8}
Y654(CreateFrom:n76,Dest:n68): {n76=8}
Y649(CreateFrom:n55,Dest:n58): {n55=8}
Y647(CreateFrom:n58,Dest:n72): {n58=8}
Y648(CreateFrom:n65,Dest:n11): {n65=8}
Y660(CreateFrom:n32,Dest:n63): {n32=8}
Y662(CreateFrom:n53,Dest:n39): {n53=8}
Y661(CreateFrom:n32,Dest:n46): {n32=8}
Y664(CreateFrom:n74,Dest:n35): {n74=8}
Y663(CreateFrom:n31,Dest:n86): {n31=8}
Y666(CreateFrom:n0,Dest:n65): {n0=8}
Y665(CreateFrom:n35,Dest:n59): {n35=8}
Y668(CreateFrom:n18,Dest:n70): {n18=8}
Y667(CreateFrom:n43,Dest:n23): {n43=8}
Y658(CreateFrom:n51,Dest:n64): {n64=0, n79=1, n51=7, n4=0}
Y659(CreateFrom:n76,Dest:n6): {n6=0, n76=6, n55=2}
Y3(CreateFrom:n5,Dest:n33): {n5=8}
Y4(CreateFrom:n74,Dest:n69): {n74=8}
Y1(CreateFrom:n70,Dest:n1): {n70=8}
Y2(CreateFrom:n88,Dest:n18): {n88=8}
Y7(CreateFrom:n18,Dest:n62): {n18=8}
Y8(CreateFrom:n42,Dest:n8): {n42=8}
Y5(CreateFrom:n69,Dest:n26): {n69=8}
Y6(CreateFrom:n21,Dest:n36): {n21=8}
Y635(CreateFrom:n59,Dest:n27): {n59=8}
Y634(CreateFrom:n55,Dest:n94): {n55=8}
Y633(CreateFrom:n40,Dest:n91): {n40=8}
Y632(CreateFrom:n87,Dest:n44): {n55=2, n0=2, n44=0, n87=5}
Y631(CreateFrom:n4,Dest:n57): {n3=2, n4=6, n57=0}
Y630(CreateFrom:n24,Dest:n8): {n24=0, n5=1, n9=2}
Y629(CreateFrom:n14,Dest:n74): {n14=8}
Y627(CreateFrom:n5,Dest:n49): {n5=8}
Y628(CreateFrom:n26,Dest:n58): {n26=8}
Y625(CreateFrom:n62,Dest:n64): {n64=0, n26=2, n62=5, n54=2}
Y626(CreateFrom:n48,Dest:n28): {n48=8}
Y644(CreateFrom:n23,Dest:n68): {n23=8}
Y643(CreateFrom:n24,Dest:n3): {n24=8}
Y646(CreateFrom:n9,Dest:n65): {n9=8}
Y645(CreateFrom:n23,Dest:n68): {n23=8}
Y640(CreateFrom:n4,Dest:n73): {n4=8}
